뮤지컬 제목,관람일,시작 시간,종료 시간,공연 시설명,공연장 최대 수용 수,티켓 가격,줄거리,공연 장르명
Musical_1,2024-12-13,14:00,16:30,Broadway Theatre,932,50000,This is a fascinating story about love and sacrifice.,Historical
Musical_2,2024-12-08,19:00,16:30,National Theatre,954,120000,This is a fascinating story about love and sacrifice.,Romance
Musical_3,2024-12-01,19:00,16:30,West End Theatre,956,120000,This is a fascinating story about love and sacrifice.,Historical
Musical_4,2024-11-17,19:00,21:30,West End Theatre,956,70000,This is a fascinating story about love and sacrifice.,Historical
Musical_5,2024-11-18,14:00,16:30,Sydney Opera House,949,120000,This is a fascinating story about love and sacrifice.,Drama
Musical_6,2024-12-02,14:00,21:30,National Theatre,954,50000,This is a fascinating story about love and sacrifice.,Romance
Musical_7,2024-12-07,19:00,21:30,Broadway Theatre,932,50000,This is a fascinating story about love and sacrifice.,Drama
Musical_8,2024-12-09,14:00,16:30,Sydney Opera House,949,120000,This is a fascinating story about love and sacrifice.,Historical
Musical_9,2024-12-08,19:00,21:30,West End Theatre,956,90000,This is a fascinating story about love and sacrifice.,Historical
Musical_10,2024-11-17,14:00,16:30,West End Theatre,956,50000,This is a fascinating story about love and sacrifice.,Historical
Musical_11,2024-12-12,14:00,16:30,Sydney Opera House,949,50000,This is a fascinating story about love and sacrifice.,Fantasy
Musical_12,2024-11-27,19:00,16:30,Sydney Opera House,949,90000,This is a fascinating story about love and sacrifice.,Drama
Musical_13,2024-11-16,19:00,16:30,West End Theatre,956,70000,This is a fascinating story about love and sacrifice.,Drama
Musical_14,2024-11-29,19:00,16:30,Seoul Arts Center,984,70000,This is a fascinating story about love and sacrifice.,Historical
Musical_15,2024-11-22,14:00,16:30,National Theatre,954,70000,This is a fascinating story about love and sacrifice.,Comedy
Musical_16,2024-11-29,19:00,16:30,Sydney Opera House,949,90000,This is a fascinating story about love and sacrifice.,Comedy
Musical_17,2024-11-20,19:00,16:30,National Theatre,954,50000,This is a fascinating story about love and sacrifice.,Drama
Musical_18,2024-11-24,14:00,16:30,Sydney Opera House,949,50000,This is a fascinating story about love and sacrifice.,Romance
Musical_19,2024-12-12,14:00,16:30,National Theatre,954,70000,This is a fascinating story about love and sacrifice.,Romance
Musical_20,2024-11-18,14:00,16:30,National Theatre,954,50000,This is a fascinating story about love and sacrifice.,Romance
